[2020-06-23 01:42:43] [FINE   ] Command Add Square 86 124 55 -4144960 -4144960 
[2020-06-23 01:42:49] [FINE   ] Command Add Square 123 157 55 -13434829 -4144960 
[2020-06-23 01:42:50] [FINE   ] Command Add Square 154 191 55 -13434829 -4144960 
[2020-06-23 01:42:52] [FINE   ] Command Add Square 174 221 55 -13434829 -4144960 
[2020-06-23 01:42:57] [FINE   ] null 
[2020-06-23 01:43:02] [FINE   ] null 
[2020-06-23 01:43:06] [FINE   ] null 
[2020-06-23 01:43:12] [FINE   ] null 
[2020-06-23 01:43:23] [FINE   ] null 
[2020-06-23 01:43:30] [FINE   ] null 
[2020-06-23 01:43:32] [FINE   ] null 
[2020-06-23 01:43:35] [FINE   ] null 
[2020-06-23 01:43:40] [FINE   ] Application is closed. 
